objectid,format,title,date,location,publisher,longitude,latitude,subject,editor,creator,note,call_number,provenance,binding_description,local_note
buch0001,record,Allgemeiner Volks-Kalender 1854,1854,Berlin,Trowitzsch,13.405,52.52,Humor; Science,,,,PT19.A37,,Blind tooled blue cloth over boards; marbled edges; gilt lettering and decoration on spine.,Literary advertisements at the end
buch0002,record,Dresdner Kalender zum Gebrauch des Residenz auf das Jahr 1812,1812,Dresden,J. F. Dorin,13.7373,51.0504,Post schedules; genealogies of monarchs; currency statistics; calendar;,,,,PT19.D8,Heavy annotation in pen throughout,Gloster marbled paper over boards; year in manuscript on spine and cover.,Manuscipt notes of Napoleon's visit to the king of saxony
buch0003,record,Frauentaschenbuch für das Jahr 1823,1823,Nürnberg,J. L. Schrag,11.0778,49.452,Poetry; Essays; Legends; Stories,,"Rückert, Fr.; Alexis, W.; Schuetz; Kalkreuth; Schwab, G.; Conz; Nidda, von; Steinmann, Fr..",,PT19.F8,,Illustrated white papers over boards; gilt edges.,
buch0004,record,Helena Taschenbuch für 1838,1838,Bunzlau,Appun's Buchhandlung,,,Novellas,,"Schefer; Scavola; Hanke, H.",,PT19.H45,,Green paper over boards; gilt edges.,
buch0005,record,Helena Taschenbuch für 1837,1837,Bunzlau,Appun's Buchhandlung,,,Novellas; Essays; Poetry,,"Tieck, Storch, Wachsmann, Schefer",,PT19.H45,,Rebound; Green cloth over boards; gilt edges.,
buch0006,record,Helena Taschenbuch für 1839,1839,Bunzlau,Appun's Buchhandlung,,,Novellas,,"Tieck, von Guseck, Schefer, Storch",,PT19.H45,,Rose paper over boards; gilt edges; cream end papers.,
buch0007,record,Helena Taschenbuch für 1840,1840,Bunzlau,Appun's Buchhandlung,,,Novellas,,Scaevola; Rein; von Guseck,,PT19.H45,Illegible former owner's inscription,1/4 Morocco with blue spatter paste paper; red spattered edges.,
buch0008,record,Königsberger Taschenbuch 1846,1846,Königsberg,H. L. Voigt,,,Poetry; Social; Political; Religious Essays,"Walesrode, L.","Crelinger; Jung, Alex; Jacoby, Joh.; Wechsler; Walesrode; Freundt; Jachmann; v. Lengerke; Wolf.",,PT19.K75 1,,Embossed brown cloth over boards.,
buch0009,record,Königsberger Taschenbuch 1846,1846,Königsberg,H. L. Voigt,,,Poetry; Social; Political; Religious Essays,"Walesrode, L.","Crelinger; Jung, Alex; Jacoby, Joh.; Wechsler; Walesrode; Freundt; Jachmann; v. Lengerke; Wolf.","Sold by a book seller in Legnica, Poland",PT19.K75 2,Former owner's incription: Aus der Buchhandlung A. H. Strempel in Liegnitz,Quarter calf with textured paper over boards; green paper manuscript spine label,
buch0010,record,Literarhistorisches Taschenbuch 1846,1846,Hannover,G. S. Rius,9.7332,52.3759,Social; hostorical Essays,R. G. Pruß,,Absent from 1986 Catalog,PN14.L77,,Half cloth with Papier Tourniquet marbled paper over boards,
